Sample ID	Sample label	U [mg/kg]	Th [mg/kg]	232Th/238U	206Pb [mg/kg]	f206 [%]	207Pb/206Pb	207Pb/206Pb e rel [%]	207Pb/235U	207Pb/235U e rel [%]	206Pb/238U	206Pb/238U e rel [%]	Age dated [ka] (Age, 206Pb/238U Lead-Uranium)	Age e [±] (Age, 206Pb/238U Lead-Uranium)	Age dated [ka] (Age, 207Pb/206Pb Lead-Lead)	Age e [±] (Age, 207Pb/206Pb Lead-Lead)	Perc [%]
ABA/81	12.1rc	1805	330	0.19	184.0	0.25	0.0700	0.510000	1.200	1.200	0.1200	1.1000	722000	7800	1020000	10000	29
ABA/81	13.1r	924	37	0.04	123.0	0.08	0.0800	1.300000	1.610	1.800	0.1600	1.3000	931000	11000	1075000	26000	13
ABA/81	14.1c	1499	1057	0.73	252.0	0.31	0.0800	0.640000	2.100	1.400	0.2000	1.2000	1149000	13000	1147000	13000	0
ABA/81	15.1c	807	305	0.39	139.0	0.16	0.0800	0.710000	2.160	1.500	0.2000	1.3000	1173000	14000	1157000	14000	-1
ABA/81	16.1r	644	538	0.86	45.5	0.67	0.0600	1.900000	0.650	2.200	0.0800	1.2000	506000	5700	519000	42000	2
WBJS3	4.1r	272	8	0.03	21.0	0.72	0.0571	0.001300	0.664	0.020	0.0844	0.0015	522000	9000	496000	51000	-5
WBJS3	9.1r	537	20	0.04	39.0	0.13	0.0582	0.008000	0.642	0.014	0.8000	0.0013	496000	8000	539000	29000	8
WBJS3	16.1c	476	292	0.61	94.0	0.19	0.0766	0.000800	1.920	0.041	0.1819	0.0031	1077000	17000	1110000	22000	3
WBJS3	16.2r	1392	35	0.03	108.0	0.09	0.0579	0.000400	0.676	0.012	0.0847	0.0013	524000	8000	527000	14000	1
WBJS3	28.1rc	456	110	0.24	71.0	0.69	0.0763	0.001300	1.619	0.040	0.1538	0.0026	922000	14000	1104000	34000	16
WBJS3	41.1r	1810	69	0.04	140.0	0.04	0.0578	0.000400	0.672	0.012	0.0844	0.0013	522000	8000	521000	15000	0
WBJS3	43.1c	548	367	0.67	115.0	0.32	0.0775	0.000800	2.018	0.040	0.1888	0.0031	1115000	17000	1134000	19000	2
WBJS3	43.2r	362	3	0.01	28.0	0.17	0.0567	0.000900	0.665	0.017	0.0850	0.0015	526000	9000	481000	37000	-9
WBJS3	53.1c	423	272	0.64	94.0	0.08	0.8040	0.000800	2.244	0.045	0.2025	0.0033	1189000	18000	1206000	19000	1
WBJS3	53.2r	1516	50	0.03	117.0	0.07	0.0578	0.000300	0.670	0.011	0.0841	0.0013	520000	8000	521000	12000	0
WBJS3	56.1r	3303	153	0.05	266.0	0.32	0.0575	0.000200	0.694	0.011	0.0876	0.0013	541000	8000	510000	9000	-6
WBJS3	58.1c	331	143	0.43	65.0	0.19	0.0781	0.000600	2.018	0.040	0.1875	0.0032	1108000	17000	1149000	16000	4
WBJS3	58.2rc	746	106	0.14	117.0	0.11	0.0770	0.003296	1.714	0.038	0.1615	0.0032	965000	18000	1121000	15000	14
WBJS3	59.1c	351	143	0.41	69.0	0.35	0.0774	0.110000	2.003	0.045	0.1876	0.0032	1109000	17000	1132000	26000	2
WBJS3	61.1r	1526	80	0.05	120.0	0.04	0.0575	0.001000	0.676	0.012	0.0853	0.0013	528000	8000	510000	14000	-3
WBJS3	65.1c	603	416	0.69	125.0	0.08	0.0773	0.000600	1.989	0.037	0.1866	0.0030	1103000	16000	1130000	15000	2
WBJS3	65.2rc	399	103	0.26	240.0	0.22	0.0724	0.000700	1.359	0.027	0.1361	0.0022	823000	12000	997000	20000	17
ABA/10A	1.1rc	746	90	0.12	99.0	0.19	0.07	1.10	1.59	2.2	0.15	1.9	924000	17000	1061000	22000	13
ABA/10A	1.2rc	352	230	0.67	50.0	1.06	0.08	2.50	1.72	2.9	0.16	1.5	976000	13000	1105000	50000	12
ABA/10A	2.1c	646	55	0.09	106.0	0.03	0.08	2.10	2.09	4.7	0.19	4.2	1129000	43000	1174000	41000	4
ABA/10A	2.2c	123	65	0.54	19.2	0.00	0.08	1.30	1.91	2.0	0.18	1.6	1076000	16000	1105000	26000	3
