SAMPLE ID,CALCULATED AGE (Ma),CALCULATED MAX AGE,CACLULATED MIN AGE,AGE TECHNIQUE,AGE MINERAL,LATITUDE,LONGITUDE,SIO2
MC3,4.48,4.63,4.33,K-AR,WHOLE ROCK,35.4198,-115.8409,50.9
17-2,18.5,22.5,14.5,REG-COR,none,34.3457,-114.7709,57.78
MC4,4.76,4.93,4.59,K-AR,WHOLE ROCK,35.3449,-115.7435,
MC5,4.24,4.41,4.07,K-AR,WHOLE ROCK,35.3891,-115.8615,
MC5a,5.12,5.28,4.96,K-AR,WHOLE ROCK,35.3891,-115.8615,50.9
MC50,0.7,0.76,0.64,K-AR,WHOLE ROCK,35.2606,-115.792,
MC58,0.16,0.23,0.09,K-AR,WHOLE ROCK,35.227,-115.7685,
69C24,14.9,15.9,13.9,K-AR,PLAGIOCLASE,34,-118.805,
MC61,0.59,0.71,0.47,K-AR,WHOLE ROCK,35.2345,-115.7385,
MC70,0.35,0.39,0.31,K-AR,WHOLE ROCK,35.1905,-115.7815,
MC75,0.22,0.25,0.19,K-AR,WHOLE ROCK,35.2065,-115.8115,
KA1772,22.7,23.6,21.8,K-AR,PLAGIOCLASE,35.369,-120.866,
KA 1942,14.9,16,13.8,K-AR,PLAGIOCLASE,33.741,-118.356,
KA 2104,15.7,16.2,15.2,K-AR,PLAGIOCLASE,35.218,-120.698,
KA 2106,27.2,28,26.4,K-AR,SANIDINE,35.346,-120.798,
KA 2107,15.7,16.6,14.8,K-AR,PLAGIOCLASE,35.218,-120.698,
KA 2108,16.7,17.2,16.2,K-AR,PLAGIOCLASE,35.218,-120.698,
KA 2109,15.8,16.3,15.3,K-AR,PLAGIOCLASE,35.218,-120.698,
KA 2110,16.9,17.7,16.1,K-AR,PLAGIOCLASE,35.218,-120.698,
KA 2111,27.1,27.9,26.3,K-AR,BIOTITE,35.346,-120.833,
KA 2114,22.1,22.7,21.5,K-AR,BIOTITE,34.923,-118.967,
KA 2115,22.5,23.2,21.8,K-AR,BIOTITE,34.923,-118.967,
KA 2116,14.6,15.2,14,K-AR,PLAGIOCLASE,35.05,-119.72,
KA 2117,16.5,17.3,15.7,K-AR,PLAGIOCLASE,34.018,-119.684,
