'ID,Soil order,Topsoil or Subsoil,Kaolinite ,Smectite ,Vermiculite,Illite /Mica,Chlorite,Quartz ,Arophane,Gibbsite,Fe oxide,Others,Reference
42,Alfisol,T,0,33.33333333,5.555555556,19.44444444,16.66666667,0,0,0,0,25,"Khormali, F. and Abtahi, A., 2003. Origin and distribution of clay minerals in calcareous arid and semi-arid soils of Fars Province, southern Iran. Clay Minerals, 38: 511_527."
43,Alfisol,S,0,17.5,0,15,20,0,0,0,0,47.5,"Khormali, F. and Abtahi, A., 2003. Origin and distribution of clay minerals in calcareous arid and semi-arid soils of Fars Province, southern Iran. Clay Minerals, 38: 511_527."
44,Alfisol,T,0,12.5,0,22.5,17.5,0,0,0,0,47.5,"Khormali, F. and Abtahi, A., 2003. Origin and distribution of clay minerals in calcareous arid and semi-arid soils of Fars Province, southern Iran. Clay Minerals, 38: 511_527."
45,Alfisol,S,1.282051282,15.38461538,0,16.66666667,19.23076923,0,0,0,0,47.43589744,"Khormali, F. and Abtahi, A., 2003. Origin and distribution of clay minerals in calcareous arid and semi-arid soils of Fars Province, southern Iran. Clay Minerals, 38: 511_527."
46,Alfisol,T,21.25,78.75,0,0,0,0,0,0,0,0,"Bhattacharyya, T., Pal, D.K., Chandran, P. and Ray, S.K., 2005. Landuse, clay mineral type and organic carbon content in two mollisols_alfisols_vertisols catenary sequences of tropical India. Clay Research, 24(2): 105_122."
47,Alfisol,S,21.25,78.75,0,0,0,0,0,0,0,0,"Bhattacharyya, T., Pal, D.K., Chandran, P. and Ray, S.K., 2005. Landuse, clay mineral type and organic carbon content in two mollisols_alfisols_vertisols catenary sequences of tropical India. Clay Research, 24(2): 105_122."
48,Alfisol,T,49,19.5,0,31.5,0,0,0,0,0,0,"Bhattacharyya, T., Pal, D.K., Chandran, P. and Ray, S.K., 2005. Landuse, clay mineral type and organic carbon content in two mollisols_alfisols_vertisols catenary sequences of tropical India. Clay Research, 24(2): 105_122."
49,Alfisol,S,54,18.66666667,0,27.33333333,0,0,0,0,0,0,"Bhattacharyya, T., Pal, D.K., Chandran, P. and Ray, S.K., 2005. Landuse, clay mineral type and organic carbon content in two mollisols_alfisols_vertisols catenary sequences of tropical India. Clay Research, 24(2): 105_122."
50,Alfisol,T,52.5,38.5,0,9,0,0,0,0,0,0,"Bhattacharyya, T., Pal, D.K., Chandran, P. and Ray, S.K., 2005. Landuse, clay mineral type and organic carbon content in two mollisols_alfisols_vertisols catenary sequences of tropical India. Clay Research, 24(2): 105_122."
51,Alfisol,S,22.66666667,70.66666667,0,6.666666667,0,0,0,0,0,0,"Bhattacharyya, T., Pal, D.K., Chandran, P. and Ray, S.K., 2005. Landuse, clay mineral type and organic carbon content in two mollisols_alfisols_vertisols catenary sequences of tropical India. Clay Research, 24(2): 105_122."
52,Andosol,T,6,0,44,2,12,0,32,4,0,0,Nishibori Y et al. (2009) Characterization and grouping of paddy soils in Shiga Prefecture with reference to clay minerals and microbial biomass. Bull. Shiga Pref. Agric. Tech. Prom. Center. 48:25_52.
